X:Vel_RX-GEAR22-jiandanjiaolian(rad/s),X:Vel_RY-GEAR22-jiandanjiaolian(rad/s),X:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),X:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2),Y:Vel_RX-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RY-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),Y:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2)
0.049753000,0.049753000,0.049753000,0.049753000,0.049753000,0.049753000,-0.92880053,-3.1966448e-15,3.2997624e-15,0.016309286,5.6131528e-17,-5.7942223e-17
0.050753000,0.050753000,0.050753000,0.050753000,0.050753000,0.050753000,-0.92879646,-3.1966308e-15,3.2997479e-15,0.0081546429,2.8065764e-17,-2.8971111e-17
0.051753000,0.051753000,0.051753000,0.051753000,0.051753000,0.051753000,-0.92879442,-3.1966237e-15,3.2997406e-15,0.0040773215,1.4032882e-17,-1.4485556e-17
0.052753000,0.052753000,0.052753000,0.052753000,0.052753000,0.052753000,-0.92879340,-3.1966202e-15,3.2997370e-15,0.0020386607,7.0164410e-18,-7.2427778e-18
0.053753000,0.053753000,0.053753000,0.053753000,0.053753000,0.053753000,-0.92879289,-3.1966185e-15,3.2997352e-15,0.0010193304,3.5082205e-18,-3.6213889e-18
0.054753000,0.054753000,0.054753000,0.054753000,0.054753000,0.054753000,-0.92879263,-3.1966176e-15,3.2997343e-15,0.00050966518,1.7541103e-18,-1.8106945e-18
0.055753000,0.055753000,0.055753000,0.055753000,0.055753000,0.055753000,-0.92879251,-3.1966172e-15,3.2997338e-15,0.00025483259,8.7705513e-19,-9.0534723e-19
0.056753000,0.056753000,0.056753000,0.056753000,0.056753000,0.056753000,-0.92879244,-3.1966169e-15,3.2997336e-15,0.00012741630,4.3852757e-19,-4.5267362e-19
0.057753000,0.057753000,0.057753000,0.057753000,0.057753000,0.057753000,-0.92879241,-3.1966168e-15,3.2997335e-15,6.3708148e-05,2.1926378e-19,-2.2633681e-19
0.058753000,0.058753000,0.058753000,0.058753000,0.058753000,0.058753000,-0.92879239,-3.1966168e-15,3.2997334e-15,3.1854074e-05,1.0963189e-19,-1.1316840e-19
0.059753000,0.059753000,0.059753000,0.059753000,0.059753000,0.059753000,-0.92879239,-3.1966167e-15,3.2997334e-15,1.5927037e-05,5.4815946e-20,-5.6584202e-20
0.060753000,0.060753000,0.060753000,0.060753000,0.060753000,0.060753000,-0.92879238,-3.1966167e-15,3.2997334e-15,7.9635185e-06,2.7407973e-20,-2.8292101e-20
0.061753000,0.061753000,0.061753000,0.061753000,0.061753000,0.061753000,-0.92879238,-3.1966167e-15,3.2997334e-15,3.9817592e-06,1.3703986e-20,-1.4146050e-20
0.062753000,0.062753000,0.062753000,0.062753000,0.062753000,0.062753000,-0.94174643,-3.2412006e-15,3.3457554e-15,-8.6360339,-2.9722563e-14,3.0681356e-14
0.063753000,0.063753000,0.063753000,0.063753000,0.063753000,0.063753000,-1.0266238,-3.5333223e-15,3.6473004e-15,-59.463585,-2.0465531e-13,2.1125709e-13
0.064753000,0.064753000,0.064753000,0.064753000,0.064753000,0.064753000,-1.0785357,-3.7119871e-15,3.8317286e-15,-54.429139,-1.8732830e-13,1.9337115e-13
0.065753000,0.065753000,0.065753000,0.065753000,0.065753000,0.065753000,-1.0921430,-3.7588191e-15,3.8800714e-15,-27.214570,-9.3664150e-14,9.6685574e-14
0.066753000,0.066753000,0.066753000,0.066753000,0.066753000,0.066753000,-1.0989466,-3.7822352e-15,3.9042428e-15,-13.607285,-4.6832075e-14,4.8342787e-14
0.067753000,0.067753000,0.067753000,0.067753000,0.067753000,0.067753000,-1.1023485,-3.7939432e-15,3.9163284e-15,-6.8036424,-2.3416037e-14,2.4171394e-14
0.068753000,0.068753000,0.068753000,0.068753000,0.068753000,0.068753000,-1.1040494,-3.7997972e-15,3.9223713e-15,-3.4018212,-1.1708019e-14,1.2085697e-14
0.069753000,0.069753000,0.069753000,0.069753000,0.069753000,0.069753000,-1.1048998,-3.8027242e-15,3.9253927e-15,-1.7009106,-5.8540094e-15,6.0428484e-15
0.070753000,0.070753000,0.070753000,0.070753000,0.070753000,0.070753000,-1.1053251,-3.8041877e-15,3.9269034e-15,-0.85045530,-2.9270047e-15,3.0214242e-15
0.071753000,0.071753000,0.071753000,0.071753000,0.071753000,0.071753000,-1.1055377,-3.8049195e-15,3.9276588e-15,-0.42522765,-1.4635023e-15,1.5107121e-15
0.072753000,0.072753000,0.072753000,0.072753000,0.072753000,0.072753000,-1.1056440,-3.8052853e-15,3.9280365e-15,-0.21261383,-7.3175117e-16,7.5535605e-16
0.073753000,0.073753000,0.073753000,0.073753000,0.073753000,0.073753000,-1.1056971,-3.8054683e-15,3.9282253e-15,-0.10630691,-3.6587559e-16,3.7767802e-16
0.074753000,0.074753000,0.074753000,0.074753000,0.074753000,0.074753000,-1.1057237,-3.8055597e-15,3.9283197e-15,-0.053153457,-1.8293779e-16,1.8883901e-16
0.075753000,0.075753000,0.075753000,0.075753000,0.075753000,0.075753000,-1.1057370,-3.8056055e-15,3.9283669e-15,-0.026576728,-9.1468896e-17,9.4419506e-17
0.076753000,0.076753000,0.076753000,0.076753000,0.076753000,0.076753000,-1.1057436,-3.8056283e-15,3.9283905e-15,-0.013288364,-4.5734448e-17,4.7209753e-17
0.077753000,0.077753000,0.077753000,0.077753000,0.077753000,0.077753000,-1.1057470,-3.8056398e-15,3.9284023e-15,-0.0066441821,-2.2867224e-17,2.3604876e-17
0.078753000,0.078753000,0.078753000,0.078753000,0.078753000,0.078753000,-1.1057486,-3.8056455e-15,3.9284082e-15,-0.0033220910,-1.1433612e-17,1.1802438e-17
0.079753000,0.079753000,0.079753000,0.079753000,0.079753000,0.079753000,-1.1057494,-3.8056483e-15,3.9284112e-15,-0.0016610455,-5.7168060e-18,5.9012191e-18
0.080753000,0.080753000,0.080753000,0.080753000,0.080753000,0.080753000,-1.1057499,-3.8056498e-15,3.9284127e-15,-0.00083052276,-2.8584030e-18,2.9506096e-18
0.081753000,0.081753000,0.081753000,0.081753000,0.081753000,0.081753000,-1.0334875,-3.5569451e-15,3.6716853e-15,48.174609,1.6580214e-13,-1.7115059e-13
0.082753000,0.082753000,0.082753000,0.082753000,0.082753000,0.082753000,-0.94645150,-3.2573940e-15,3.3624712e-15,74.082228,2.5496817e-13,-2.6319295e-13
0.083753000,0.083753000,0.083753000,0.083753000,0.083753000,0.083753000,-0.92793094,-3.1936519e-15,3.2966729e-15,37.041114,1.2748408e-13,-1.3159647e-13
0.084753000,0.084753000,0.084753000,0.084753000,0.084753000,0.084753000,-0.91867066,-3.1617809e-15,3.2637738e-15,18.520557,6.3742042e-14,-6.5798237e-14
0.085753000,0.085753000,0.085753000,0.085753000,0.085753000,0.085753000,-0.91404052,-3.1458454e-15,3.2473243e-15,9.2602786,3.1871021e-14,-3.2899118e-14
0.086753000,0.086753000,0.086753000,0.086753000,0.086753000,0.086753000,-0.91172545,-3.1378776e-15,3.2390995e-15,4.6301393,1.5935510e-14,-1.6449559e-14
0.087753000,0.087753000,0.087753000,0.087753000,0.087753000,0.087753000,-0.91056792,-3.1338938e-15,3.2349871e-15,2.3150696,7.9677552e-15,-8.2247796e-15
0.088753000,0.088753000,0.088753000,0.088753000,0.088753000,0.088753000,-0.90998915,-3.1319018e-15,3.2329309e-15,1.1575348,3.9838776e-15,-4.1123898e-15
0.089753000,0.089753000,0.089753000,0.089753000,0.089753000,0.089753000,-0.90969977,-3.1309058e-15,3.2319028e-15,0.57876741,1.9919388e-15,-2.0561949e-15
